LoincNumber,LongCommonName,AnswerListId,AnswerListName,AnswerListLinkType,ApplicableContext
102322-5,Geotrichum candidum IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102323-3,Gerbil IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102324-1,Ginger IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102325-8,Gluten IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102326-6,Glycyphagus domesticus IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102327-4,Goat epithelium IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102328-2,Goat milk IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102329-0,Goldenrod IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102330-8,Goose feather IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102331-6,Grape IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102332-4,Grapefruit IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102333-2,Bahia grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102334-0,Bermuda grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102335-7,Canadian blue grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102336-5,Brome IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102337-3,False oat grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102338-1,Gramma grass (Bouteloua gracilis) IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102339-9,Johnson grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102340-7,Kentucky blue grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102341-5,Koehlers grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102342-3,Cocksfoot IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102343-1,Quack grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102344-9,Red top grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102345-6,Perennial rye grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102346-4,Wild rye grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102347-2,Salt grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102348-0,Sorghum grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102349-8,Sudan grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102350-6,Sweet Vernal grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102351-4,Velvet grass IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102352-2,Guar gum IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102353-0,Guava IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102354-8,Guinea pig epithelium IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102355-5,Gum arabic IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102356-3,Sweet gum IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102357-1,Hackberry tree IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102358-9,Haddock IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102359-7,Halibut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102360-5,Hamster epithelium IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102361-3,Hazelnut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102362-1,Hazelnut Pollen IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102363-9,Helminthosporium sp IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102364-7,Setomelanomma rostrata IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102365-4,Eastern Hemlock IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102366-2,Water Hemp IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102367-0,Herring IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102368-8,Pecan or Hickory Nut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102369-6,Pecan or Hickory Tree IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102370-4,Shellbark Hickory IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102371-2,White Hickory IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102372-0,Honey IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102373-8,Honeysuckle IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102374-6,Hop IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102375-3,Horn beam IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102376-1,Hornet IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102377-9,Whitefaced Hornet IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102378-7,Yellow Hornet IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102379-5,Horse dander IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102380-3,Horse epithelium IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102381-1,Horse serum proteins IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102382-9,Horseradish IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102383-7,House dust IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102384-5,House dust Greer IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102385-2,House dust Hausstaub IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102386-0,House dust Hollister Stier IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102387-8,Insulin bovine IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102388-6,Insulin human IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102389-4,Insulin porcine IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102390-2,Iodinebush IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102391-0,Isocyanate HDI IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102392-8,Isocyanate MDI IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102393-6,Isocyanate TDI IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102394-4,Ispaghula laxative IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102395-1,Juniper IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102396-9,Kapok IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102397-7,Kiwifruit IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102398-5,Lamb IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102399-3,Goosefoot IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102400-9,Latex IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102401-7,Latex glove extract IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102402-5,Latex glove extract ammoniated IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102403-3,Latex glove extract buffered IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102404-1,Legume IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102405-8,Lemon IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102406-6,Lenscale IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
102407-4,Lentils IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),LL1927-4,RAST,EXAMPLE,
61459-4,"How often did you eat cooked dried beans, such as refried beans, baked beans, bean soup, and pork and beans in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61460-2,How often did you eat hot or cold cereals in past 30 days [PhenX],LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61462-8,How often did you eat any kind of cheese in past 30 days [PhenX],LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61463-6,"How often did you eat cookies, cake, pie, or brownies in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61464-4,"Deprecated How often did you eat DOUGHNUTS, sweet rolls, Danish, muffins, or pop-tarts in past 30 days PhenX",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61465-1,"How often did you eat french fries, home fries, or hash brown potatoes in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61466-9,"Deprecated How often did you drink FRUIT-FLAVORED DRINKS with sugar (such as Kool-aid, Hi-C, lemonade, or cranberry cocktail) in past 30 days PhenX",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61467-7,Deprecated How often did you eat FRUIT in past 30 days PhenX,LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61468-5,"How often did you drink 100 % fruit juice, such as orange, mango, apple, and grape juices in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61470-1,"Deprecated Not counting lettuce salads, white potatoes, cooked dried beans, and not counting rice, how often did you eat OTHER VEGETABLES in past 30 days PhenX",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61471-9,"Deprecated How often did you eat a green leafy or lettuce SALAD, with or without other vegetables, in past 30 days PhenX",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61472-7,How often did you have salsa in past 30 days [PhenX],LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61473-5,"How often did you drink regular, carbonated soda or soft drinks that contain sugar in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61474-3,How often did you have tomato sauces such as spaghetti sauce or pizza with tomato sauce in past 30 days [PhenX],LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61475-0,Deprecated How often did you eat other WHITE POTATOES in past 30 days PhenX,LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61476-8,"How often did you eat whole grain bread including toast, rolls and in sandwiches in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61506-2,Deprecated How often did you eat whole grain bread in past 30 days PhenX,LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61507-0,"Not counting lettuce salads, white potatoes, cooked dried beans, and not counting rice, how often did you eat other vegetables in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61508-8,"Deprecated How often did you have MILK, either to drink or on cereal in past 30 days PhenX",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61549-2,"How often did you have milk, either to drink or on cereal in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61550-0,"How often did you drink fruit flavored drinks with sugar (such as Kool-Aid, Hi-C, lemonade, or cranberry cocktail) in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61551-8,How often did you eat fruit in past 30 days [PhenX],LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61552-6,"How often did you eat a green leafy or lettuce salad, with or without other vegetables in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61553-4,How often did you eat other white potatoes in past 30 days [PhenX],LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61554-2,"How often did you eat doughnuts, sweet rolls, danish, muffins, or pop-tarts in past 30 days [PhenX]",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
61555-9,"Deprecated How often did you eat COOKIES, CAKE, PIE, or BROWNIES in past 30 days PhenX",LL1001-8,PhenX05_14_30D freq amts,NORMATIVE,
